timestamp,values
2013-02-17T17:27:49-08:00,CLOUDY
2013-02-17T17:29:00-08:00,CLOUDY
2013-02-17T17:30:12-08:00,CLOUDY
2013-02-17T17:31:23-08:00,CLOUDY
2013-02-17T17:32:35-08:00,CLOUDY
2013-02-17T17:33:46-08:00,CLOUDY
2013-02-17T17:34:57-08:00,CLOUDY
2013-02-17T17:36:09-08:00,CLOUDY
2013-02-17T17:37:20-08:00,CLOUDY
2013-02-17T17:38:31-08:00,CLOUDY
2013-02-17T17:39:42-08:00,CLOUDY
2013-02-17T17:40:53-08:00,CLOUDY
2013-02-17T17:42:04-08:00,CLOUDY
2013-02-17T17:43:16-08:00,CLOUDY
2013-02-17T17:44:27-08:00,CLOUDY
2013-02-17T17:45:38-08:00,CLOUDY
2013-02-17T17:46:50-08:00,CLOUDY
2013-02-17T17:48:01-08:00,CLOUDY
2013-02-17T17:49:12-08:00,CLOUDY
2013-02-17T17:50:24-08:00,CLOUDY
2013-02-17T17:51:35-08:00,CLOUDY
2013-02-17T17:52:46-08:00,CLOUDY
2013-02-17T17:53:57-08:00,CLOUDY
2013-02-17T17:55:08-08:00,CLOUDY
2013-02-17T17:56:19-08:00,CLOUDY
2013-02-17T17:57:31-08:00,CLOUDY
2013-02-17T17:58:42-08:00,CLOUDY
2013-02-17T17:59:53-08:00,CLOUDY
2013-02-17T18:01:05-08:00,CLOUDY
2013-02-17T18:02:16-08:00,CLOUDY
2013-02-17T18:03:27-08:00,CLOUDY
2013-02-17T18:04:39-08:00,CLOUDY
2013-02-17T18:05:50-08:00,CLOUDY
2013-02-17T18:07:01-08:00,CLOUDY
2013-02-17T18:08:12-08:00,CLOUDY
2013-02-17T18:09:24-08:00,CLOUDY
2013-02-17T18:10:35-08:00,CLOUDY
2013-02-17T18:11:45-08:00,CLOUDY
2013-02-17T18:12:57-08:00,CLOUDY
2013-02-17T18:14:08-08:00,CLOUDY
2013-02-17T18:15:19-08:00,CLOUDY
2013-02-17T18:16:31-08:00,CLOUDY
2013-02-17T18:17:42-08:00,CLOUDY
2013-02-17T18:18:53-08:00,CLOUDY
2013-02-17T18:20:05-08:00,CLOUDY
2013-02-17T18:21:16-08:00,CLOUDY
2013-02-17T18:22:27-08:00,CLOUDY
2013-02-17T18:23:39-08:00,CLOUDY
2013-02-17T18:24:50-08:00,CLOUDY
2013-02-17T18:26:01-08:00,CLOUDY
2013-02-17T18:27:12-08:00,CLOUDY
2013-02-17T18:28:23-08:00,CLOUDY
2013-02-17T18:29:35-08:00,CLOUDY
2013-02-17T18:30:46-08:00,CLOUDY
2013-02-17T18:31:57-08:00,CLOUDY
2013-02-17T18:33:09-08:00,CLOUDY
2013-02-17T18:34:20-08:00,CLOUDY
2013-02-17T18:35:31-08:00,CLOUDY
2013-02-17T18:36:43-08:00,CLOUDY
2013-02-17T18:37:54-08:00,CLOUDY
2013-02-17T18:39:05-08:00,CLOUDY
2013-02-17T18:40:17-08:00,CLOUDY
2013-02-17T18:41:28-08:00,CLOUDY
2013-02-17T18:42:41-08:00,CLOUDY
2013-02-17T18:43:56-08:00,CLOUDY
